,datetime,close,RSI,RSI_SMA,Signal,ltp
3917,2021-11-11 10:15:00,17845.55,26.68,41.07357142857143,Buy,
3930,2021-11-12 14:15:00,18096.85,72.37,42.82928571428572,Sell,
3960,2021-11-18 08:15:00,17890.55,22.98,34.16571428571429,Buy,
3992,2021-11-25 12:15:00,17516.95,70.65,47.425,Sell,
3999,2021-11-26 10:15:00,17165.55,26.65,54.69428571428572,Buy,
4035,2021-12-02 10:15:00,17285.45,75.34,53.42928571428571,Sell,
4054,2021-12-06 11:15:00,17056.95,10.42,52.78714285714285,Buy,
4070,2021-12-08 09:15:00,17405.8,78.52,42.00857142857143,Sell,
4110,2021-12-14 13:15:00,17359.2,22.99,41.669285714285714,Buy,
4151,2021-12-22 08:15:00,16865.55,78.14,44.43214285714286,Sell,
4324,2022-01-19 09:15:00,18038.7,27.61,53.955,Buy,
4390,2022-02-01 09:15:00,17578.1,78.59,61.010714285714286,Sell,
4414,2022-02-03 15:15:00,17529.5,25.49,59.98,Buy,
4450,2022-02-09 15:15:00,17468.05,79.13,52.137142857142855,Sell,
4469,2022-02-11 16:15:00,17345.55,24.75,51.68857142857143,Buy,
4484,2022-02-16 10:15:00,17288.1,76.14,37.885,Sell,
4510,2022-02-21 09:15:00,17127.25,27.71,42.13142857142857,Buy,
4532,2022-02-23 13:15:00,17146.3,76.01,44.29928571428572,Sell,
4538,2022-02-24 10:15:00,16579.1,21.12,45.35142857142858,Buy,
4557,2022-02-28 11:15:00,16673.6,72.15,45.14928571428572,Sell,
4583,2022-03-04 10:15:00,16159.1,19.82,40.76857142857143,Buy,
4606,2022-03-09 12:15:00,16317.85,70.92,40.94714285714286,Sell,
4675,2022-03-22 09:15:00,17035.0,23.4,58.80285714285714,Buy,
4683,2022-03-23 08:15:00,17405.05,71.7,42.00928571428572,Sell,
4745,2022-04-06 12:15:00,17840.2,29.78,51.614285714285714,Buy,
4824,2022-04-21 10:15:00,17338.85,77.83,47.41785714285714,Sell,
4838,2022-04-25 14:15:00,16947.15,18.28,54.18214285714286,Buy,
4848,2022-04-26 15:15:00,17211.35,70.14,39.89142857142857,Sell,
4893,2022-05-04 15:15:00,16672.1,23.6,33.18928571428572,Buy,
4962,2022-05-17 11:15:00,16104.8,73.44,47.190714285714286,Sell,
4979,2022-05-19 10:15:00,15927.65,24.21,72.66,Buy,
4991,2022-05-20 13:15:00,16218.4,71.03,31.03357142857143,Sell,
5011,2022-05-24 15:15:00,16121.55,27.73,51.069285714285705,Buy,
5037,2022-05-27 14:15:00,16346.2,74.68,56.54785714285714,Sell,
5086,2022-06-07 08:15:00,16469.6,24.72,45.68428571428571,Buy,
5167,2022-06-21 08:15:00,15455.95,72.07,41.90500000000001,Sell,
5232,2022-07-01 09:15:00,15554.65,25.54,47.46,Buy,
5246,2022-07-04 14:15:00,15841.1,74.79,47.35142857142858,Sell,
5309,2022-07-14 13:15:00,15872.3,28.05,36.91285714285714,Buy,
5323,2022-07-18 09:15:00,16184.8,84.28,47.330714285714286,Sell,
5378,2022-07-26 10:15:00,16504.45,25.18,49.04928571428571,Buy,179.97
