,Unnamed: 0,datetime,close,RSI,RSI_SMA,Signal,ltp
2236,2236,2021-01-18 15:15:00,14241.65,30.92,30.92,Buy,152.85
2261,2261,2021-01-21 13:15:00,14699.9,74.88,85.13928571428572,Sell,157.72
2278,2278,2021-01-25 12:15:00,14399.45,32.94,29.985,Buy,153.54
2281,2281,2021-01-25 15:15:00,14225.2,29.97,26.93357142857143,Buy,152.58
2298,2298,2021-01-28 14:15:00,13822.8,22.28,17.556428571428572,Buy,147.8
2330,2330,2021-02-04 09:15:00,14749.95,85.12,91.665,Sell,157.1
2342,2342,2021-02-05 12:15:00,14914.55,66.11,71.82285714285715,Sell,159.8
2345,2345,2021-02-05 15:15:00,14933.6,68.58,68.9707142857143,Sell,158.99
2352,2352,2021-02-08 13:15:00,15138.15,70.76,71.30928571428572,Sell,161.08
2431,2431,2021-02-19 11:15:00,15082.1,30.45,28.549285714285716,Buy,161.3
2434,2434,2021-02-19 14:15:00,15006.25,28.7,25.57142857142857,Buy,159.75
2445,2445,2021-02-23 08:15:00,14782.25,30.64,24.347857142857144,Buy,158.0
2480,2480,2021-03-01 12:15:00,14727.65,34.64,34.49428571428571,Buy,157.58
2550,2550,2021-03-12 10:15:00,15270.1,66.32,66.785,Sell,163.24
2582,2582,2021-03-18 14:15:00,14586.15,33.58,32.10214285714286,Buy,155.7
2586,2586,2021-03-19 09:15:00,14500.9,34.37,31.075,Buy,155.39
2628,2628,2021-03-25 15:15:00,14315.85,25.81,22.81142857142857,Buy,153.69
2649,2649,2021-03-31 09:15:00,14747.2,67.53,75.10928571428572,Sell,
2713,2713,2021-04-13 09:15:00,14442.75,22.61,17.340714285714288,Buy,
2801,2801,2021-04-29 15:15:00,14879.3,83.67,84.39857142857143,Sell,
2819,2819,2021-05-03 15:15:00,14631.7,33.73,33.20928571428571,Buy,
2852,2852,2021-05-07 12:15:00,14778.05,68.93,69.03,Sell,
2855,2855,2021-05-07 15:15:00,14806.35,71.45,71.62142857142858,Sell,
2862,2862,2021-05-10 13:15:00,14946.8,70.0,73.84,Sell,
2889,2889,2021-05-14 13:15:00,14659.75,32.77,31.880714285714287,Buy,
2911,2911,2021-05-19 08:15:00,15058.6,76.88,87.75142857142858,Sell,
2937,2937,2021-05-24 15:15:00,15183.65,67.57,69.33,Sell,
2940,2940,2021-05-25 09:15:00,15261.0,71.2,74.18357142857144,Sell,
2968,2968,2021-05-28 10:15:00,15401.65,67.38,70.21642857142857,Sell,
2974,2974,2021-05-28 16:15:00,15454.2,68.88,69.86428571428571,Sell,
2985,2985,2021-06-01 09:15:00,15592.0,75.83,78.81857142857143,Sell,
3013,3013,2021-06-04 10:15:00,15670.25,66.27,69.16357142857143,Sell,
3198,3198,2021-07-06 13:15:00,15895.8,75.35,79.66142857142857,Sell,
3228,3228,2021-07-09 16:15:00,15699.65,27.64,22.273571428571437,Buy,
3254,3254,2021-07-14 15:15:00,15837.2,65.58,66.22428571428571,Sell,
3263,3263,2021-07-15 15:15:00,15921.25,68.49,70.5292857142857,Sell,
3286,3286,2021-07-22 08:15:00,15736.6,34.84,24.37357142857143,Buy,
3301,3301,2021-07-23 14:15:00,15860.6,65.38,71.645,Sell,
3326,3326,2021-07-28 12:15:00,15666.05,34.62,33.99428571428571,Buy,
3328,3328,2021-07-28 14:15:00,15713.1,34.55,32.33571428571428,Buy,
3347,3347,2021-08-02 15:15:00,15889.6,73.77,74.36,Sell,
3362,3362,2021-08-04 12:15:00,16236.25,88.73,91.37357142857142,Sell,
3425,3425,2021-08-16 11:15:00,16567.7,92.84,92.87571428571428,Sell,
3428,3428,2021-08-16 14:15:00,16568.3,91.01,93.4057142857143,Sell,
3481,3481,2021-08-25 13:15:00,16649.8,66.46,66.59857142857143,Sell,
3484,3484,2021-08-25 16:15:00,16633.25,67.05,69.60214285714285,Sell,
3515,3515,2021-09-01 10:15:00,17112.5,83.32,86.44785714285715,Sell,
3539,3539,2021-09-03 16:15:00,17320.55,69.7,73.46285714285715,Sell,
3541,3541,2021-09-06 09:15:00,17400.65,72.53,73.6557142857143,Sell,
3548,3548,2021-09-06 16:15:00,17379.65,68.81,70.35785714285716,Sell,
3654,3654,2021-09-24 13:15:00,17850.4,74.79,80.73642857142856,Sell,
3718,3718,2021-10-05 14:15:00,17827.6,69.14,70.115,Sell,
3722,3722,2021-10-06 09:15:00,17831.95,72.43,73.78214285714286,Sell,
3774,3774,2021-10-14 15:15:00,18334.7,83.2,84.3157142857143,Sell,
3780,3780,2021-10-18 12:15:00,18492.15,86.51,89.3107142857143,Sell,
3809,3809,2021-10-21 14:15:00,18168.3,34.04,32.50214285714286,Buy,
3863,3863,2021-10-29 14:15:00,17647.75,13.57,12.071428571428571,Buy,
3941,3941,2021-11-15 16:15:00,18093.6,67.54,72.63000000000001,Sell,
3969,3969,2021-11-22 08:15:00,17796.25,30.42,27.971428571428568,Buy,
3976,3976,2021-11-22 15:15:00,17441.45,29.0,25.65857142857143,Buy,
3980,3980,2021-11-23 10:15:00,17384.6,28.42,25.12071428571429,Buy,
4010,4010,2021-11-29 12:15:00,17089.3,21.85,20.674285714285716,Buy,
4060,4060,2021-12-07 08:15:00,17044.1,27.59,23.202857142857145,Buy,
4079,4079,2021-12-09 09:15:00,17411.85,67.03,77.14,Sell,
4139,4139,2021-12-20 14:15:00,16619.1,25.47,23.715714285714284,Buy,
4167,4167,2021-12-23 15:15:00,17046.95,72.87,73.78142857142858,Sell,
4198,4198,2021-12-29 10:15:00,17221.7,73.25,79.55857142857143,Sell,
4238,4238,2022-01-05 13:15:00,17912.05,86.2,89.94357142857143,Sell,
4275,4275,2022-01-11 14:15:00,18058.45,72.01,75.59928571428573,Sell,
