,datetime,open,high,low,close,volume
67,2019-12-26 10:15:00,126.0,126.08,126.0,126.05,3848
68,2019-12-26 10:45:00,126.05,126.05,125.75,125.99,4345
69,2019-12-26 11:15:00,125.8,125.98,125.8,125.9,1442
70,2019-12-26 11:45:00,125.76,125.9,125.76,125.77,406
71,2019-12-26 12:15:00,125.77,125.9,125.77,125.9,1350
72,2019-12-26 12:45:00,125.9,125.9,125.77,125.89,1104
73,2019-12-26 13:15:00,125.82,125.89,125.75,125.8,1116
74,2019-12-26 13:45:00,125.7,125.75,125.7,125.75,105
75,2019-12-26 14:15:00,125.73,125.76,125.6,125.75,1567
76,2019-12-26 14:45:00,125.61,125.61,125.4,125.58,3822
77,2019-12-26 15:15:00,125.05,125.58,125.05,125.52,5892
78,2019-12-27 09:15:00,125.5,125.85,125.2,125.8,11603
79,2019-12-27 09:45:00,125.75,125.9,125.75,125.85,2082
80,2019-12-27 10:15:00,125.85,126.39,125.85,126.39,7395
81,2019-12-27 10:45:00,126.39,126.39,125.96,126.15,675
82,2019-12-27 11:15:00,126.15,126.24,125.86,126.24,135
83,2019-12-27 11:45:00,125.88,127.0,125.88,126.38,4219
84,2019-12-27 12:15:00,126.37,126.37,125.99,126.33,864
85,2019-12-27 12:45:00,126.33,126.34,126.06,126.06,111
86,2019-12-27 13:15:00,126.05,126.08,126.05,126.08,42
87,2019-12-27 13:45:00,126.33,126.33,125.92,125.92,3344
88,2019-12-27 14:15:00,126.0,126.29,126.0,126.0,25
89,2019-12-27 14:45:00,126.29,126.34,126.2,126.2,42
90,2019-12-27 15:15:00,126.24,126.75,126.24,126.54,2709
91,2019-12-30 09:15:00,129.1,130.0,126.51,126.93,54356
92,2019-12-30 09:45:00,127.0,127.0,126.83,126.98,5027
93,2019-12-30 10:15:00,126.98,127.05,126.85,127.0,4699
94,2019-12-30 10:45:00,126.99,126.99,126.9,126.98,115
95,2019-12-30 11:15:00,127.0,127.09,126.56,126.56,18519
96,2019-12-30 11:45:00,126.65,126.8,126.49,126.69,4693
97,2019-12-30 12:15:00,126.67,126.71,126.52,126.6,3370
98,2019-12-30 12:45:00,126.6,126.84,126.5,126.79,2678
99,2019-12-30 13:15:00,126.84,127.0,126.56,127.0,10870
100,2019-12-30 13:45:00,127.1,127.2,127.1,127.2,392
101,2019-12-30 14:15:00,127.2,127.24,126.75,127.24,121742
102,2019-12-30 14:45:00,127.27,127.5,127.1,127.46,2738048
103,2019-12-30 15:15:00,127.4,127.74,127.25,127.25,115170
104,2019-12-31 09:15:00,126.6,127.06,126.6,127.0,71
105,2019-12-31 09:45:00,126.95,127.01,126.76,126.95,2899
106,2019-12-31 10:15:00,126.91,127.2,126.8,126.8,14828
107,2019-12-31 10:45:00,126.77,127.13,126.6,127.13,926
108,2019-12-31 11:15:00,126.96,126.96,126.51,126.8,428
109,2019-12-31 11:45:00,126.8,127.46,126.8,127.33,523
110,2019-12-31 12:15:00,127.32,127.41,127.0,127.0,2066
111,2019-12-31 12:45:00,126.84,127.0,126.8,127.0,140
112,2019-12-31 13:15:00,127.0,127.0,127.0,127.0,100
113,2019-12-31 13:45:00,127.05,127.2,126.8,127.2,248
114,2019-12-31 14:15:00,127.2,127.2,126.3,126.9,12266
115,2019-12-31 14:45:00,126.9,127.2,126.41,126.83,1044
116,2019-12-31 15:15:00,126.79,126.95,126.25,126.95,373
117,2020-01-01 09:15:00,127.79,130.0,126.55,126.55,599
118,2020-01-01 09:45:00,126.55,126.79,126.55,126.65,66
119,2020-01-01 10:15:00,126.63,126.7,126.56,126.65,3281
120,2020-01-01 10:45:00,126.64,126.64,126.49,126.58,922
121,2020-01-01 11:15:00,126.57,126.57,126.5,126.55,216
122,2020-01-01 11:45:00,126.56,126.57,126.44,126.44,292
123,2020-01-01 12:15:00,126.6,126.72,125.89,125.89,2202
124,2020-01-01 12:45:00,126.55,126.61,126.55,126.56,958
125,2020-01-01 13:15:00,126.55,126.61,126.53,126.61,126
126,2020-01-01 13:45:00,126.61,126.61,126.5,126.6,25
127,2020-01-01 14:15:00,126.5,126.63,126.01,126.01,430
128,2020-01-01 14:45:00,126.59,126.6,126.59,126.6,754
129,2020-01-01 15:15:00,126.55,126.58,126.25,126.35,318
130,2020-01-02 09:15:00,135.3,135.3,126.5,126.93,149
131,2020-01-02 09:45:00,126.8,126.98,126.8,126.98,1774
132,2020-01-02 10:15:00,126.8,126.98,126.41,126.98,1434
133,2020-01-02 10:45:00,127.0,127.06,126.75,126.75,605
134,2020-01-02 11:15:00,127.04,127.19,127.0,127.19,1088
135,2020-01-02 11:45:00,126.77,127.18,126.76,127.18,68
136,2020-01-02 12:15:00,127.18,127.18,126.86,127.14,430
137,2020-01-02 12:45:00,126.77,127.44,126.77,127.44,3694
138,2020-01-02 13:15:00,127.42,127.42,127.36,127.36,25
139,2020-01-02 13:45:00,127.37,127.37,126.91,126.93,267
140,2020-01-02 14:15:00,127.2,127.2,127.1,127.1,63
141,2020-01-02 14:45:00,127.0,127.1,127.0,127.0,461
142,2020-01-02 15:15:00,127.09,127.2,127.02,127.2,211
143,2020-01-03 09:15:00,127.01,127.01,126.59,126.85,1245
144,2020-01-03 09:45:00,126.71,132.46,126.26,127.68,103808
145,2020-01-03 10:15:00,127.68,127.68,127.03,127.2,34200
146,2020-01-03 10:45:00,127.21,127.21,127.05,127.19,1345
147,2020-01-03 11:15:00,127.2,127.23,127.07,127.16,3289
148,2020-01-03 11:45:00,127.15,127.16,126.9,126.9,1802
149,2020-01-03 12:15:00,127.0,127.1,127.0,127.09,1419
150,2020-01-03 12:45:00,127.09,127.16,127.04,127.16,483
151,2020-01-03 13:15:00,127.06,127.06,127.03,127.03,66
152,2020-01-03 13:45:00,127.03,127.04,126.88,126.88,492
153,2020-01-03 14:15:00,126.88,126.98,126.79,126.84,3393
154,2020-01-03 14:45:00,126.84,126.84,126.14,126.49,8043
155,2020-01-03 15:15:00,126.49,126.49,126.37,126.44,1157
156,2020-01-06 09:15:00,126.0,126.38,125.11,125.55,6174
157,2020-01-06 09:45:00,125.55,125.97,125.5,125.86,4537
158,2020-01-06 10:15:00,125.87,125.87,125.5,125.7,1730
