datetime,open,high,low,close,volume
2023-02-27 10:15:00,17306.35,17332.6,17301.7,17323.45,0
2023-02-27 10:45:00,17323.2,17377.35,17307.2,17376.65,0
2023-02-27 11:15:00,17376.45,17394.3,17343.85,17379.8,0
2023-02-27 11:45:00,17379.0,17397.3,17323.8,17329.05,0
2023-02-27 12:15:00,17328.7,17347.15,17322.65,17333.75,6408756
2023-02-27 12:45:00,17331.85,17347.9,17299.0,17308.5,15338844
2023-02-27 13:15:00,17306.95,17342.2,17304.0,17333.5,6646412
2023-02-27 13:45:00,17333.05,17374.15,17327.0,17354.2,0
2023-02-27 14:15:00,17354.05,17363.45,17336.7,17353.65,0
2023-02-27 14:45:00,17353.75,17405.3,17336.1,17402.5,0
2023-02-27 15:15:00,17401.75,17411.05,17388.55,17392.7,0
2023-02-28 09:15:00,17383.25,17440.2,17368.8,17421.6,0
2023-02-28 09:45:00,17421.2,17432.8,17369.9,17380.45,0
2023-02-28 10:15:00,17380.95,17415.7,17363.35,17363.35,0
2023-02-28 10:45:00,17362.2,17379.7,17346.4,17375.05,0
2023-02-28 11:15:00,17374.75,17380.95,17343.75,17345.35,0
2023-02-28 11:45:00,17344.75,17386.35,17344.75,17385.0,0
2023-02-28 12:15:00,17384.85,17401.15,17354.45,17354.6,10652227
2023-02-28 12:45:00,17354.55,17368.3,17339.8,17348.6,20521216
2023-02-28 13:15:00,17348.25,17360.9,17327.9,17329.05,8706234
2023-02-28 13:45:00,17327.75,17334.25,17255.9,17261.2,0
2023-02-28 14:15:00,17260.95,17315.45,17260.9,17274.85,0
2023-02-28 14:45:00,17275.85,17342.1,17274.55,17313.55,0
2023-02-28 15:15:00,17313.3,17322.8,17296.05,17303.95,0
2023-03-01 09:15:00,17360.1,17421.75,17353.45,17405.45,0
2023-03-01 09:45:00,17405.75,17420.95,17384.6,17404.15,0
2023-03-01 10:15:00,17404.6,17427.0,17389.55,17418.5,0
2023-03-01 10:45:00,17418.2,17430.55,17409.5,17430.5,0
2023-03-01 11:15:00,17430.85,17441.2,17417.5,17429.25,0
2023-03-01 11:45:00,17429.45,17431.35,17406.7,17407.8,0
2023-03-01 12:15:00,17407.55,17422.75,17393.6,17417.3,7277439
2023-03-01 12:45:00,17417.35,17429.75,17410.8,17414.75,10230054
2023-03-01 13:15:00,17415.2,17422.05,17401.8,17420.55,8320258
2023-03-01 13:45:00,17420.9,17445.05,17415.4,17442.9,0
2023-03-01 14:15:00,17442.4,17466.15,17428.25,17465.55,0
